,Angola,,Zimbabwe,,Kenya,,Morroco,,Ivory Coast,,Djibouti,,Nigeria,,Ethiopia,,Burundi,,Somalia,
DateTime,scheduled flight,tracked,scheduled flight,tracked,scheduled ,tracked ,scheduled ,tracked,scheduled,tracked,scheduled ,tracked,scheduled ,tracked,scheduled ,tracked,scheduled ,tracked,scheduled ,tracked
26/04/2020,1,0,6,2,7,4,14,1,1,1,0,0,1,0,27,14,0,0,0,0
27/04/2020,4,1,9,0,23,7,15,3,0,0,1,1,56,3,22,11,0,0,0,0
28/04/2020,1,1,8,2,27,5,16,0,3,1,0,0,58,1,29,17,0,0,0,0
29/04/2020,0,0,10,0,27,5,15,1,1,0,1,1,60,4,36,11,0,0,1,0
30/04/2020,1,1,12,1,51,6,22,0,2,0,1,0,75,4,43,22,2,0,1,1
01/05/2020,0,0,10,1,53,6,13,0,1,1,0,0,57,2,46,20,2,0,0,0
02/05/2020,0,0,10,1,59,5,10,0,1,0,0,0,53,0,37,21,0,0,0,0
03/05/2020,11,0,30,1,319,5,76,0,18,1,8,0,271,1,85,17,3,0,13,1
04/05/2020,8,0,26,0,309,7,66,1,15,0,7,1,278,2,94,19,3,0,16,0
05/05/2020,5,0,37,2,315,5,77,4,14,2,5,0,247,2,95,22,4,0,12,0
06/05/2020,5,0,36,0,385,5,76,1,11,1,5,1,260,2,98,22,5,1,20,1
07/05/2020,5,0,38,1,319,6,83,2,6,1,0,0,258,1,58,19,1,0,6,0
08/05/2020,2,0,23,0,296,5,71,0,7,2,2,0,225,1,68,23,0,0,6,0
09/05/2020,0,0,30,1,243,3,81,3,4,0,0,0,239,2,43,9,3,0,14,0
10/05/2020,5,1,37,2,251,6,74,0,6,1,7,1,248,3,53,14,1,0,8,0
11/05/2020,7,0,33,0,254,8,69,0,10,0,4,1,256,1,58,18,3,0,11,0
12/05/2020,2,0,36,2,252,5,72,2,9,3,3,0,245,1,54,21,3,0,7,0
13/05/2020,7,0,27,0,252,5,71,2,6,1,3,1,247,2,46,18,3,0,14,1
14/05/2020,5,1,32,1,263,8,80,3,5,0,0,0,250,0,56,19,2,0,4,0
15/05/2020,16,0,19,1,232,4,68,0,9,3,4,0,221,2,91,26,1,0,10,0
16/05/2020,5,1,25,1,248,5,76,1,8,2,0,0,210,3,47,16,4,0,14,0
17/05/2020,3,0,28,2,255,5,77,5,7,1,6,0,212,0,53,17,2,0,8,0
18/05/2020,13,1,23,0,250,5,66,1,11,1,6,2,218,2,51,14,3,0,11,0
19/05/2020,24,2,34,1,253,5,70,0,9,2,4,1,211,0,56,28,3,0,7,0
20/05/2020,82,1,32,0,317,9,74,4,11,3,3,0,209,1,48,18,5,0,15,0
21/05/2020,76,2,38,1,329,7,94,3,5,0,1,0,223,2,55,23,4,0,5,0
22/05/2020,91,3,18,1,229,2,94,0,7,1,2,0,186,3,57,14,0,0,6,0
23/05/2020,74,1,27,1,250,4,88,0,5,1,1,0,200,2,47,16,3,0,14,0
24/05/2020,85,1,36,3,311,6,83,1,8,1,5,0,206,0,53,20,1,0,8,1
25/05/2020,83,0,32,0,297,4,91,0,9,0,3,1,215,1,52,16,2,0,11,0
